id,txt_involved,txt_sustainability,txt_influence_reduction_other,txt_other_comments,motivation_other,barriers_other,improve_other
115076342758,Auditioned for Yuri Klaz then jioned Winnipeg Singers. Found the opportunity on the MCA Website.,"Concert weeks are very busy with rehearsals Mon/Wed, dress reh Sat and concert Sunday",NA,NA,NA,Unhealthy Board governance for WS contributes to an uncomfortable environment at times,More opportunities fir new / younger conductors
115076338239,"I had been singing in choirs all my life. One of my choir experiences evolved into a professional choir, and the other I auditioned for. ",I'm retired and have fewer conflicts.,NA,"While few of us are motivated by money, a reasonable payment fee at least acknowledges the years of lessons, and experience that go into our development as singers. ",NA,NA,NA
115075950086,"After moving to Winnipeg, i expressed my interest in joining professional choirs to some colleagues, and I essentially became on sub lists. After subbing a few times i stayed on! ",NA,NA,NA,NA,NA,NA
115075947756,Friends,My voice is still in good shape and I am semi-retired.,"Health, interpersonal relationships","Not all choristers are equal when it comes to fundraising, volunteering, media engagement etc. and contributions are often not valued equally.",NA,Pressure to fundraise,NA
115075880366,Through auditioning and doing summer programs. Connections through the u of m helped. ,Currently I only sing occasionally with dead of winter and then a professional church gig. I’d love to sing more professionally in choral settings should those opportunities arise.,NA,NA,NA,NA,I think Winnipeg should be having a performance of a large Bach work every Easter season. It’s kind of crazy to me how little Bach is happening!
115074798733,Continuation from prior choral experiences and voice degree. ,A flexible rehearsal schedule. A variety of music. Camaraderie and friendship along with a high calibre of music making.,NA,NA,Calibre of fellow choristers,Calibre of fellow choristers,NA
115074790641,Everyone needs a tenor. ,"We are a small group and very nimble, so there is good value for money and an ability to provide input into programming and strategy.",NA,"I'm on the fence about the fairness of sharing the marketing and fundraising requirements because there's quite a burden to learn the programming and show up every week anyway. While it's important to help with marketing and fundraising, Manitoba has unique challenges in that department, meaning that we share audiences. Ideally, it would be great not to have to work so hard just to get an audience. ",NA,NA,NA
115074787332,"In Canzona first at the age of 23, after entering the school of music as a second degree. It was THE choir to be in at the time, and I was so excited to be a part of it.","Family commitments and my own level of energy outside of my ""paid work"" position.",NA,"It's not just time commitment to our personal lives and then our choral life, we should all find a way to attend/support the other professional choirs in Manitoba, which takes more time to do. If we want a robust community, consideration should be given to the time and effort we, as singers, contribute to the community outside of the choirs we are a part of.",NA,"Paid work - as in if enough paid work existed, would it support a lifestyle in and of itself, so that a person can strictly be an artist?",NA
115072269100,"Singing in choirs throughout university, then Manitoba Youth Choir and National Youth Choir, and other educational programs both local and international. Cut my teeth with a church job (crazy amounts of sight reading and repertoire). Then successfully auditioned for a number of pro choirs here and in Toronto. Founded a choir that became professional-level. In general, said yes to opportunity!","Most of the choirs I sing in work on a project basis rather than regular rehearsals. These days I find I can't take on more than one project at a time - or if I do, I regret it afterwards!",NA,"I don't sing in these choirs for the money, but I do believe it's important to value our work more equitably. I really feel the gap of not having Polycoro and Canzona this year (listed as current because I sang their most recent concerts last year).",NA,NA,NA
115071995115,"A friend thought I would be a good addition to Camerata Nova once upon a time, based on my contribution to our church choir.",The choirs have a certain level of working around each other in terms of scheduling their rehearsals and their seasons in general.,NA,NA,NA,NA,NA
