id,motivation_other,barriers_other,repetoire,what_would_increase_attendance,txt_distinct_choirs,received_from_other
119087183639,NA,NA,Varied,"More affordable, better parking","There is overlap between many of the choirs, but they do each have a 'flavour"" of their own. ",Winnipeg Singers AND Dead of Winter
119087182518,"When it is the Renaissance, Baroque, or up to Haydn/Mozart, I will be there. NOT A FAN of new/modern music",NA,"Please, I beg you, return to what you do best, Faure requiem, masses, vocal harmony",NA,NA,NA
119087180245,NA,NA,"Interesting world-class repertoire (eg. Path of Miracles), as well as concerts tied to the Baroque Festival or WSO.",Interesting world-class repertoire (eg. Path of Miracles). Choral concerts that do not conflict with other classical concerts happening on the same day or weekend.,NA,NA
119087176391,NA,NA,NA,NA,NA,NA
119087172667,NA,"Would love to attend more, Winnipeg has so many wonderful opportunities!","More the classical, but also enjoy some of the newer music.",personal time,NA,NA
119087170846,NA,NA,Traditional but some newer works too,"Not much, but better parking ",NA,NA
119087170493,NA,NA,NA,NA,NA,NA
119087167948,NA,NA,"Large masterworks, contemporary, Canadian, ",NA,I think that there are likely too many semi professional choirs in the city and their repertoire can be similar.  ,NA
119087166990,NA,NA,"Classical. I can sometimes find interest in new classical works, but not always. If there is too much new, I do not go.",Retirement!,"Because of their nature, I am much more likely to attend Canzona and the Phil than Dead of Winter, which is too trendy and too woke for me. The only Dead of Winter concerts I attend are the Renaissance ones. I like the Winnipeg Singers because of their tremendous quality, but will not attend a concert of all Canadian music. I think they are limited by the repertoire they are obliged to sing. Canzona I have underattended in the past, not because of repertoire, but because of lack of time. I am lukewarm on Proximus 5, which is a small group. I prefer a bigger sound.",NA
119087166487,NA,NA,Varied...from old to new...,More time.,NA,NA
119085657869,NA,NA,"Everything. Renaissance, Baroque, and contemporary works that open up new sounds and present interesting ideas and meaningful messages are the types that I find most interesting. I prefer truthful repertoire that doesn’t pander to societal trends, as much as that’s what sells nowadays.","Nothing in particular. Maybe better central concert venues that are beautiful and suitable for acoustic choral performance. Can someone find money to build or convert one?! (Being busy and with young kids is the reason I am attending fewer concerts these days, by the way.)","DoW seems to promote contemporary Indigenous composers and artists, including Andrew of course, and they still have a foot in the early music domain; Winnipeg Singers seems to program accessible, mostly-contemporary works; Polycoro seems to program a variety of Renaissance and cutting edge contemporary works that are rarely performed, and presents their concerts in evocative ways; Canzona covers the Baroque repertoire/masterworks (more contemporary variety as of late but with an outgoing AD), and Proximus 5 performs one-per-part a cappella in a more intimate manner on the whole.","Note that I attend many options on the previous page but could only select one option, so I chose “other live performances”"
