id,motivation_other,barriers_other,repetoire,what_would_increase_attendance,txt_distinct_choirs,received_from_other
119090579266,NA,Sometimes concerts are booked on the same date,"More of what Dead of Winter is doing, baroque and also contemporary, polyphony ","Ensure concerts are not booked on the same day by different organizations, including MCO, WSO, etc ","Know some more than others, so hard to say ",NA
119090577517,Where there’s PARKING!!,NA,A mix. Classical.,"Location! Location!! Location!!!
Try Altona Bergthaler! Good acoustics. Large foyer. Plenty of seating. Great parking! I’m 88!!",Try Vancouver Youth Choirs!! Have you heard/seen them? Manitoba could take a few lessons.,NA
119090569033,NA,Sunday afternoon do not work for me.,NA,NA,NA,NA
119090568511,NA,NA,NA,NA,NA,NA
119090566049,NA,NA,"baroque, especially",more concerts in the afternoon,I'm not familiar enough with all of them to answer.,NA
119090561785,NA,NA,Repertoire from a variety of different cultures/perspectives. , Collaboration with other groups/composers/conductors. ,NA,NA
119090557758,NA,NA,All kinds…,New conductor(s) to replace one(s) who have held the podium long enough. ,Most do. Not all; WS appears not to have a distinct vision or niche. ,Three of  choirs listed
119090556565,NA,NA,Tastes are pretty eclectic.,Likely nothing,NA,NA
119090549439,NA,NA,"Baroque and renaissance period music. 

Winnipeg doesn't see much of the latter in particular, and I find soaring polyphonic works to be some of the most beautiful choral music (Byrd, tallis, Victoria, etc.). It's not all sacred, but many of the slow ones are. Rossi has plenty of Jewish stuff if you want a break from the Christian. 

A Capella is great for such rep, which can save a bit on instrumentalists. Though there are also plenty of works that call for them if the budget is there. Bonus points if period accurate - lute, theorbo, baroque strings, etc.). Something modern in that style that could be fun is elam rotem's lamentations of david

I do also enjoy classic masterworks. The requiem, masses, etc. Might be interesting to hear one of the other completions of Mozart's requiem, for example. 

Unrelated, but I've always been interested in hearing some east orthodox slavonic style music (ex: Tchaikovsky's cherbubic hymn, which is part of a larger work). Do we have any oktavists in winnipeg? 

Would be especially nice to hear such music in stone venues like the legislature or the train station. Same thing for slow polyphonic works as mentioned above. ","Rep I'm excited about. Period accurate instruments. Straight(er) - tone singing. Stone venues (if appropriate). 

","Some are small groups (P5) and do music accordingly. Dead of winter likes to do modern spins on classic stuff (personally not a huge fan, but that's my own taste). Canzona does great baroque stuff quite well. Can't speak for the others as I haven't attended concerts. ",NA
119090544192,NA,NA,"Innovative, but approachable, perhaps new imaginings of older music.",NA,NA,NA
119090544061,NA,NA,NA,NA,NA,NA
119090543837,NA,NA,NA,NA,NA,NA
119090542151,NA,NA,Varies,Price,NA,NA
119090541999,"My husband is church pew resistant, finds them most uncomfortable. A venue can often affect the willingness to go to a concert.",NA,"Early baroque, Arvo Paert, Andrew Belfor",Venues with comfortable seating,NA,NA
119090537010,NA,NA,The different (innovative) type of choral arrangements for lack of a better term,I need to see all the choirs!,Each choir focuses on different themes ,NA
